File,Purpose,Exports Functions,Consumes Functions,API Exposed,Frontend Consumed,Status
api/routes/history.py,api_route,"list_history, get_history_item, delete_history_item, history_table_partial, delete_history_row","database.models, logging, sqlalchemy.orm, typing, api.templating, fastapi, fastapi.responses, __future__, services.history_service, pathlib",YES,UNKNOWN,CONNECTED
exports/schemas/__init__.py,export_logic,,"exports.schemas.workbook_models, exports.schemas.batch_export_schema",NO,UNKNOWN,CONNECTED
api/app.py,module,"_page_ctx, lifespan, dashboard, analysis_page, batch_page, spectra_page, history_page, exports_page, validation_page, benchmarks_page, docking_page, settings_page, docs_page, analyse_page, health_check","database.models, logging, sqlalchemy.orm, api.templating, contextlib, routes, fastapi, fastapi.responses, routes.analysis, __future__, fastapi.staticfiles, pathlib",NO,UNKNOWN,CONNECTED
api/routes/structure.py,api_route,"_load_mol, structure_png, structure_svg","logging, typing, core.molecule_utils, fastapi, fastapi.responses, __future__, core.visualization_utils",YES,UNKNOWN,CONNECTED
services/spectra_service.py,service_layer,SpectraService,"logging, typing, spectra.proton_nmr, spectra.ir_predictor, spectra.carbon_nmr, __future__",NO,UNKNOWN,CONNECTED
core/config.py,core_logic,"DirectorySettings, LoggingSettings, ImageSettings, ExportSettings, BatchSettings, ChemistryCompanionSettings, get_settings, reset_settings_cache","logging, pydantic_settings, typing, functools, json, __future__, pydantic, pathlib",NO,UNKNOWN,CONNECTED
services/excel_report_service.py,service_layer,export_workbook,"__future__, typing, exports.exporters.excel_exporter",NO,UNKNOWN,CONNECTED
core/molecule_utils.py,core_logic,"MoleculeInput, mol_from_smiles, mol_from_inchi, mol_from_file, mol_from_iupac, count_atoms, is_aromatic, build_record, load_molecule","typing, rdkit, core.models, rdkit.Chem, __future__, pydantic, pathlib",NO,UNKNOWN,CONNECTED
spectra/__init__.py,prediction_engine,,"functional_group_detector, ir_predictor, carbon_nmr, proton_nmr",NO,UNKNOWN,CONNECTED
reports/spectra_report.py,module,"FunctionalGroupAnalysis, SpectraReport, BatchSpectraReport, SpectraReportBuilder, build_spectra_report, build_batch_spectra_reports, export_json_report, export_csv_report, export_markdown_report, _normalise_input, _invoke_predictor, _safe_to_dict, _parse_fg_detection, _parse_batch_item, _short_input_repr, _extract_items, _summarise_ir_items, _summarise_proton_items, _summarise_carbon_items, _markdown_for_section, _empty_report","collections, logging, typing, importlib, pathlib, json, rdkit, __future__, csv, dataclasses",NO,UNKNOWN,CONNECTED
core/dataset_utils.py,core_logic,"DatasetLoadError, _read_tabular, _load_sdf, _canonical_smiles_from_mol, _inchikey_from_smiles, load_molecular_dataset, validate_smiles, standardize_molecule, standardize_dataset, remove_duplicate_molecules, generate_descriptor_table, process_molecular_dataset","logging, typing, pandas, rdkit, rdkit.Chem, __future__, core.descriptor_utils, pathlib",NO,UNKNOWN,CONNECTED
api/templating.py,module,create_templates,"__future__, starlette.templating, jinja2, pathlib",NO,UNKNOWN,CONNECTED
core/pipeline.py,core_logic,"PredictorLike, DetectorLike, ChemistryPipeline, _coerce_fg_report, _safe_filename","core.resolver, logging, typing, spectra.proton_nmr, core.molecule_utils, re, spectra.ir_predictor, spectra.functional_group_detector, reports.export_utils, core.models, spectra.carbon_nmr, __future__, core.visualization_utils, core.descriptor_utils, pathlib",NO,UNKNOWN,CONNECTED
core/spectra_validation.py,core_logic,"predict_ir, predict_proton_nmr, predict_carbon_nmr, SpectraDomainMetrics, SpectraValidationRecord, SpectraValidationReport, _is_mapping, _safe_float, _midpoint_from_range, _peak_midpoint, _normalize_peak_list, _compare_peak_lists, _extract_predicted_peaks, _extract_experimental_peaks, _build_domain_metrics, _get_record_value, validate_spectra_workflow, _write_rows_to_sheet, export_validation_report, build_markdown_report, plot_spectra_validation_report","logging, typing, rdkit, rdkit.Chem, __future__, math, pathlib, dataclasses",NO,UNKNOWN,CONNECTED
services/export_service.py,service_layer,ExportService,"logging, typing, exports.exporters, exports.schemas.batch_export_schema, __future__, pathlib",NO,UNKNOWN,CONNECTED
services/__init__.py,service_layer,,"history_service, export_service, batch_service, analysis_service, spectra_service",NO,UNKNOWN,CONNECTED
services/history_service.py,service_layer,HistoryService,"database.models, sqlalchemy.orm, typing, uuid, datetime, core.models, __future__, api.serializers",NO,UNKNOWN,CONNECTED
api/schemas/analysis.py,api_schema,"MoleculeInput, AnalysisRequest, DescriptorResponse, FunctionalGroupResponse, IRBandResponse, IRPredictionResponse, ProtonSignalResponse, ProtonNMRResponse, CarbonEnvironmentResponse, CarbonNMRResponse, MoleculeResponse, AnalysisResponse","__future__, pydantic, typing",NO,UNKNOWN,CONNECTED
core/spectra_exporter.py,core_logic,"_font, _fill, _border, _center, _left, _hdr, _cell, _metric_bg, _col_widths, _save_fig, _sheet_summary, _sheet_domain, _sheet_per_molecule, _sheet_missing, _sheet_failures, export_xlsx_styled, _collect_pairs, _collect_errors, plot_01_mae_rmse_overview, plot_02_coverage_heatmap, _scatter_domain, plot_03_ir_scatter, plot_04_1h_scatter, plot_05_13c_scatter, plot_06_error_distributions, plot_07_missing_predictions, plot_08_coverage_radar, build_publication_plots, build_markdown_report_enhanced","seaborn, logging, matplotlib, typing, matplotlib.patches, openpyxl.utils, numpy, openpyxl, datetime, json, core.spectra_validation, __future__, openpyxl.styles, math, matplotlib.pyplot, pathlib",NO,UNKNOWN,CONNECTED
exports/excel/styles.py,export_logic,"apply_workbook_properties, style_header_row, style_data_rows, apply_table_features, autosize_columns","openpyxl.utils, openpyxl, datetime, exports.excel.formatters, __future__, openpyxl.styles, openpyxl.worksheet.worksheet",NO,UNKNOWN,CONNECTED
exports/schemas/workbook_models.py,export_logic,"ExportProfile, resolve_profile, list_profiles","__future__, dataclasses",NO,UNKNOWN,CONNECTED
api/routes/validation.py,api_route,run_validation,"fastapi, logging, typing, pathlib",YES,UNKNOWN,CONNECTED
api/routes/docking.py,api_route,generate_docking,"logging, typing, uuid, core.docking_preparation, fastapi, pathlib",YES,UNKNOWN,CONNECTED
exports/exporters/json_exporter.py,export_logic,JsonExporter,"typing, json, exports.schemas.batch_export_schema, __future__, pathlib",NO,UNKNOWN,CONNECTED
core/resolver.py,core_logic,"ResolutionResult, _silence_rdkit_stderr, _looks_like_name, _parse_smiles, _parse_inchi, _guess_openbabel_format, _resolve_via_openbabel, _mol_to_inchi, _inchi_to_inchikey, _enrich_result, _resolve_name_via_pubchem, _resolve_name_via_pubchem_fuzzy, _resolve_name_via_opsin, _resolve_name_via_cactus, _resolve_name_via_iupac2struct, smiles_to_iupac_name, _resolve_name_to_smiles_with_source, resolve_molecule_input, resolve_name_to_smiles","urllib.parse, logging, typing, contextlib, requests, re, core.openbabel_utils, rdkit.Chem.inchi, functools, os, rdkit, pubchempy, __future__, concurrent.futures, dataclasses",NO,UNKNOWN,CONNECTED
core/conversion_utils.py,core_logic,"smiles_to_canonical, smiles_to_inchi, smiles_to_inchikey, smiles_to_molblock, inchi_to_smiles, inchi_to_molblock, mol_to_smiles, mol_to_inchi, mol_to_inchikey, mol_to_molblock, embed_3d, mol_to_xyz, batch_smiles_to_inchi","logging, typing, rdkit.Chem.inchi, rdkit, rdkit.Chem",NO,UNKNOWN,CONNECTED
api/schemas/batch.py,api_schema,"BatchRequest, BatchMoleculeResult, BatchResponse, BatchProgress","__future__, pydantic, typing",NO,UNKNOWN,CONNECTED
api/routes/spectra.py,api_route,"predict_ir, predict_proton_nmr, predict_carbon_nmr","logging, typing, services, core.molecule_utils, fastapi, __future__, schemas.analysis, schemas.spectra",YES,UNKNOWN,CONNECTED
reports/__init__.py,module,,"spectra_report, export_utils",NO,UNKNOWN,CONNECTED
core/visualization_utils.py,core_logic,"RenderingStyle, default_functional_group_smarts, _normalise_group_name, _validate_mol, _prepare_mol_for_drawing, _apply_atom_palette, _apply_style, _substructure_bonds_for_atoms, find_functional_group_matches, get_aromatic_ring_indices, _merge_highlight_data, _resolve_highlights, _final_style, _draw_single_molecule, mol_to_png_bytes, mol_to_svg_string, mol_to_matplotlib_figure, save_2d_image, mol_to_3d_html, _grid_png_to_bytes, mols_to_grid_image","logging, matplotlib.figure, typing, PIL, rdkit.Chem.Draw, io, rdkit, rdkit.Chem, __future__, matplotlib.pyplot, pathlib, dataclasses",NO,UNKNOWN,CONNECTED
api/routes/benchmarks.py,api_route,run_benchmarks,"logging, typing, fastapi, os, time, pathlib",YES,UNKNOWN,CONNECTED
exports/excel/formatters.py,export_logic,"safe_cell_value, display_header, number_format_for","__future__, typing",NO,UNKNOWN,CONNECTED
reports/export_utils.py,module,"mol_row, record_to_dict, build_dataframe, export_csv, _collect_fieldnames, _write_csv, _write_json, _write_xlsx, export_batch","logging, typing, os, json, __future__, csv",NO,UNKNOWN,CONNECTED
api/schemas/export.py,api_schema,"ExportRequest, ExportResponse, ExportPreviewResponse","__future__, pydantic, typing",NO,UNKNOWN,CONNECTED
